id,toponimo,provincia,comune,bibliografia,etimologia,classificazione,localizzato,position_x,position_y,,,,,,,,,,,,,,,,,
40,Collina,e,Sub-Collina,Macerata,Sarnano,Pieri,S.,1969:290,Collem.,,oronimo,Si,361318,4763302,,,,,,,,,,,,
42,Corona,arsa,Macerata,Sarnano,Pieri,S.1969:245,Arsum,=,arso.,,localit�,Si,363991,4766645,,,,,,,,,,,,
43,Corvini,/,Villa,de,Macerata,Sarnano,Pieri,S.,1969:224,Corvum.,,zootoponimo,Si,361853,4762782,,,,,,,,,,,
44,Costa,/,villa,le,Macerata,Sarnano,Pieri,S.1969:291,Costam,=,fianco,del,monte.,,geotoponimo,Si,360257,4762471,,,,,,,,
45,Curvus,/,rigum,Ascoli,Piceno,Montefortino,,Curvus,=,,ritorto,oppure,tortuoso,idronimo,Si,369351,4755448,,,,,,,,,
46,Schiti,/,Exoliti,Macerata,Sarnano,Finamore,,E.1980:183,Aesculum,=,tipo,di,quercia.,,fitotoponimo,Si,363702,4766635,,,,,,,,
47,Exdarius,/,rivus,Fermo,Amandola,,Non,determinabile,idronimo,No,0,0,,,,,,,,,,,,,,
48,Florentine,Fermo,Amandola,Pieri,S.,1970:238,Flos.,,,localit�,Si,366274,4764157,,,,,,,,,,,,,
49,Le,fontanelle,Fermo,Amandola,Pieri,S.,1969:295,Fontem.,,idronimo,Si,361559,4762356,,,,,,,,,,,,,
50,La,fonte,de,lu,fano,Macerata,Sarnano,,,idronimo,Si,362773,4765773,,,,,,,,,,,,,
51,Furcam,Prati,Fermo,Amandola,Pieri,S.,1969:199,Pratum.,,,geotoponimo,Si,368900,4764743,,,,,,,,,,,,
52,Monte,Appellano,Macerata,Sarnano,,Non,determinabile,oronimo,Si,358281,4762107,,,,,,,,,,,,,,,
53,Forcellam,Petri,Actonis,Fermo,Amandola,,Non,determinabile,geotoponimo,No,0,0,,,,,,,,,,,,,,
54,Montefortino,Fermo,Montefortino,Pieri,S.1969,:255.,Pellegrini,G.B.1990,lo,intende,nel,senso,di,copertura,vegetale,fitta,citando,la,Divina,Commedia.,Fortem.,,oronimo,Si,364796,4755845
55,Furcam,Castahneti,Fermo,Amandola,Pieri,S.,,1969:172,Castaneam.,,geotoponimo,No,0,0,,,,,,,,,,,,
56,Gabba,Macerata,Sarnano,,Cabea,=,strada,affossata,di,campagna,o,stretta,da,muri,di,case.,(Pagnani,G.),localit�,Si,358834,4767225,,,,
57,Galgini,Macerata,Sarnano,,Non,determinabile,localit�,Si,361457,4762853,,,,,,,,,,,,,,,,
58,Garulla,Fermo,Amandola,Giammarco,E.,1990:53,Strada,,sentiero,varco.,,localit�,Si,360834,4760758,,,,,,,,,,,
59,Teczoni,o,Genzoni,/,rigum,Fermo,Amandola,,Non,determinabile,idronimo,Si,368109,4763958,,,,,,,,,,,,
60,Genepereto/Jomperete,Macerata,Sarnano,Pieri,S.,1969,:187,Juniperum,=,ginepro.,fitotoponimo,Si,359236,4762732,,,,,,,,,,,,
61,Colle,di,Genestreta,Fermo,Amandola,Pieri,S.1969:183,Genestam,=,ginestra.,,oronimo/fitotoponimo,Si,361752,4761394,,,,,,,,,,,
62,Colle,di,Genepere,Fermo,Amandola,Pieri,S.,1969,:187,Juniperum,=,ginepro.,,oronimo/fitotoponimo,Si,361747,4759126,,,,,,,,,
63,Giano,Fermo,Amandola,Giammarco,E.,1990:185,Giano,divinit�,oppure,da,Djanus,=,posto,a,levante.,localit�,No,0,0,,,,,,,
64,Golpecchiani,Macerata,Sarnano,,Non,determinabile,localit�,No,0,0,,,,,,,,,,,,,,,,
65,Gorga,Fermo,Amandola,Giammarco E.1960; Pieri S. 1969:297; Giammarco  E.1990:188,"Gurges, gurga = strozzatura della montagna o raccolta di acqua; da Gurgam; ",geotoponimo,Si,357240,4759228,,,,,,,,,,,,,,,,,
66,Monte,Gravario,Fermo,Amandola,Giammarco,E.,1960:91,Ravate,=,materia,sassosa,e,ghiaiosa,portata,dalle,acque/,torrenti.,Giammarco,E.,1960:91,oronimo,Si,359744,4759099,,
67,Interragia,Fermo,Amandola,,Non,determinabile,localit�,No,0,0,,,,,,,,,,,,,,,,
68,Ioglieria,Fermo,Amandola,,Non,determinabile,localit�,No,0,0,,,,,,,,,,,,,,,,
69,Lera,/,torrente,Fermo,Amandola,Finamore E. 1980; Giammarco E. 1960: 123,Lire,=,deposito,di,acqua,torbida.,,Oppure,da,Latum,,idronimo,Si,363491,4759888,,,,,
70,Lu,campu,de,Ciuccio,Fermo,Amandola,,,agrotoponimo,No,0,0,,,,,,,,,,,,,,
71,Lu,Planu,Fermo,Amandola,Pieri,S.1969:269,Planum.,,geotoponimo,No,0,0,,,,,,,,,,,,,,
72,Macarnano,,/,Macranano,Macerata,Sarnano,Schulze 1966:113 e 185; Pieri S.1969:115; Giammarco E.1990:223,Maecanus.,,prediale,Si,360610,4763831,,,,,,,,,,,,,
73,Maccla,Fermo,Amandola,Pieri S. 1969:189; Pellegrini G.B.1990:558,Maculam,=macchia,,boscaglia.,,fitotoponimo,Si,360558,4757484,,,,,,,,,,,,,
74,Castri,Mainardi,Fermo,Amandola,Giammarco,E.,1990:226,Nome,di,persona,germanico.,,localit�,Si,357098,4758903,,,,,,,,,,
75,Malabocche,Fermo,Amandola,Giammarco,E.,1990:39,e,227,Mala,+,bocca,=,cattiva,apertura.,,localit�,No,0,0,,,,,,,
76,Malvicino,Macerata,Sarnano,,,localit�,Si,362092,4766256,,,,,,,,,,,,,,,,,
77,Li,mannorili,Fermo,Amandola,,Non,determinabile,localit�,No,0,0,,,,,,,,,,,,,,,
